"title","author","publication_year","genre","synopsis"
"Actas del Congreso jurídico de Barcelona, septiembre de 1888","Congreso Juridico. 1888, Barcelona","1889","Law","Obra de Congreso Juridico. 1888, Barcelona, publicada en 1889."
"Poesáas de D. José Eusebio Caro","José Eusebio Caro","1885","Ficción","Obra de José Eusebio Caro, publicada en 1885."
"Texto social","Annette Paatz","2002","Literature and society","Obra de Annette Paatz, publicada en 2002."
"Jordi Colomer: ¡Únete! / Join Us!","Manuel Segade","2017","Art","""This catalogue presents the project ¡Únete! / Join us! created by Jordi Colomer, together with curator Manuel Segade. It is a proposal that combines video, sculpture and architecture; a rich and com…"
"Estrella doble","Robert A. Heinlein","2012","Fiction","¿Podría un miserable actor sustituir al político más famoso del imperio? Lorenzo Smith sintió un hormigueo en su cuerpo cuando le propusieron el trabajo, ya que Bonforte era el político más reputado…"
"Jurisprudencia criminal","Spain. Courts","1917","Criminal law","Obra de Spain. Courts, publicada en 1917."
"La Ficcion En Cronica de Una Muerte Anunciada","Scarafia Monica Alejandra","2011","Ficción","En este analisis se puede observar el encabalgamiento de la literatura en la frontera: ficcion / no ficcion y sus limites, como asi tambien las estrategias de las que se vale el autor para hacer mas…"
"El clon de Borges","Ricardo Burgos","2023","Ficción","""El clon de Borges"" es una novela fantástica que trata de lo que ocurriría si alguien decidiera clonar al escritor argentino Jorge Luis Borges ¿Por qué Borges? Porque en literatura, Borges es Dios (s…"
"Unidos por un rayo","Ana María Ruiz Fernández","2021","Ficción","¿Qué harías si el universo te concediera un gran don? ¿Puede el amor destruirlo todo? ¿Crees en las segundas oportunidades? Esta es una historia de ciencia ficción que se junta con fuerzas sobrenatur…"
"Se abren los caminos","Manuel Barroso","2019","Ficción","Obra de Manuel Barroso, publicada en 2019."
"Por favor, rebobinar","Alberto Fuguet","2012","Fiction","Una novela escrita para los lectores de las nuevas generaciones nativas digitales cuando el mundo aún no era digital."
"Botánica del caos","Ana María Shua","2004","Ficción","Obra de Ana María Shua, publicada en 2004."
"Piedras lunares","Fedosy Santaella","2016","Fiction","Caracas, esa ""película abrumada de asesinos en serie, superhéroes y archivillanos"", es el escenario, siempre nocturno, a la vez que protagonista, donde se recrean estas historias bajo una premisa con…"
"La liga de los presos","Nana Kwame Adjei-Brenyah","2024","Fiction","BIENVENIDOS A LA ARENA. BIENVENIDOS A LA MATANZA. Loretta Thurwar y Hamara Huracán Staxxx son las estrellas de La Liga de los Presos, la piedra angular de un programa lucrativo y tan popular como pol…"
"Dona y Deva","Pedro de Silva","1995","Fiction","Obra de Pedro de Silva, publicada en 1995."
"Magia oscura","Claudio Calzoni","2022","Fiction","Magia oscura de Claudio Calzoni Fanta crímenes y misterios de Claudio Calzoni. Magia oscura Aquí hay trece viajes entre crímenes y misterios, entre magos y espadas antiguas, entre las presencias inqu…"
"Nada es para siempre","Ali Cronin","2013","Juvenile Fiction","Cuatro chicas, tres chicos. Casi 18 años. Todos tan reales como tú. GIRL HEART BOY, historias adictivas que no puedes parar de leer Ashley, la transgresora y feminista; Rich, el amigo perfecto, siemp…"
"La Ciencia ficción de Edgar A. Poe","Edgar Allan Poe","1985","Ficción","Obra de Edgar Allan Poe, publicada en 1985."
"Quién de nosotros","Mario Benedetti","2010","Fiction","La primera novela de Mario Benedetti. La aparición de Quién de nosotros fue celebrada por la crítica uruguaya, que calificó la obra como «el libro más prometedor que nuestra literatura de ficción hay…"
"Los Reyes pobres","Juan Vela","2016","Ficción","Obra de Juan Vela, publicada en 2016."
"Los orígenes del relato","Carmenza Kline","1992","Ficción","Obra de Carmenza Kline, publicada en 1992."
"La Última Guerra","Victor Hugo Vanegas Avila","2019","Ficción","Un destino inesperado se cruza por el camino de Christian Hans Castellano Claimann, sin conocer su pasado es heredero del Principado del Orinoco, algunas presencias malignas y angelicales se manifies…"
"The Works of Lord Bacon","Francis Bacon","1838","Philosophy","Obra de Francis Bacon, publicada en 1838."
"Handbook of Middle American Indians, Volume 12","Robert Wauchope","2014","Social Science","Guide to Ethnohistorical Sources comprises Volumes 12 through 15 of the Handbook of Middle American Indians, published in cooperation with the Middle American Research Institute of Tulane University…"
"Manual de Historia Universal","Manuel Ballesteros Gaibrois","1961","World history","Obra de Manuel Ballesteros Gaibrois, publicada en 1961."
"Index of NLM Serial Titles","National Library of Medicine (U.S.)","1984","Medicine","A keyword listing of serial titles currently received by the National Library of Medicine."
"Escondida de la Historia ; la Comunidad Latina de Allentown, Pennsylvania","Anna Adams","2000","History","Obra de Anna Adams, publicada en 2000."
"Historia universal: (458 p.)","Cesare Cantú","1849","Ficción","Obra de Cesare Cantú, publicada en 1849."
"Estudios de historia de América","Instituto Panamericano de Geografía e Historia Comisión de Historia","1948","Ficción","Obra de Instituto Panamericano de Geografía e Historia Comisión de Historia, publicada en 1948."
"La evolución de la historia","Valentín Letelier","1900","History","Obra de Valentín Letelier, publicada en 1900."
"Perfil de un pueblo con historia","Angel Mario Rocha Leal","1996","Cadereyta Jiménez (México)","Obra de Angel Mario Rocha Leal, publicada en 1996."
"Los indigenismos en la Historia de las Indias de Bartolomé de las Casas","María Antonieta Andión Herrero","2004","Comics & Graphic Novels","La obra de los cronistas, mezcla entre diarios de guerras de conquista y novelas caballerescas, es una pieza vital en el entendimiento del camino léxico recorrido por la lengua española desde 1592. C…"
"Memorias de la Real Academia de la Historia","Real Academia de la Historia (Spain)","1832","Spain","Contains monographs varying in length, preceded, in v. 1,4- by ""Noticia histórica de la academia."""
"La enseñanza de la historia como estrategia de integraciõn","Jaime Díaz Castañeda","1995","Historiography","Obra de Jaime Díaz Castañeda, publicada en 1995."
"Finding List of the Minneapolis Public Library","Minneapolis Public Library","1908","Scandinavian literature","Obra de Minneapolis Public Library, publicada en 1908."
"Bibliographical and Historical Description of the Rarest Books in the Oliveira Lima Collection at the Catholic University of America","Catholic University of America. Library","1927","Bibliografias","Obra de Catholic University of America. Library, publicada en 1927."
"The British Museum Catalogue of Printed Books, 1881-1900: Marl to Mendthal","British Museum. Department of Printed Books","1946","English literature","Obra de British Museum. Department of Printed Books, publicada en 1946."
"Recently Published Articles - American Historical Association","American Historical Association","1984","History","Obra de American Historical Association, publicada en 1984."
"Diario de Sesiones (versiones Taquigraf́icas) Lima, Diciembre de 1938","International American Conference","1939","America","Obra de International American Conference, publicada en 1939."
"The Library Catalogs of the Hoover Institution on War, Revolution, and Peace, Stanford University","Hoover Institution on War, Revolution, and Peace","1969","History, Modern","Obra de Hoover Institution on War, Revolution, and Peace, publicada en 1969."
"Encyclopaedia Britannica","Harry S. Ashmore","1962","Encyclopedias and dictionaries","Obra de Harry S. Ashmore, publicada en 1962."
"Plague?","A. Lynn Martin","1996","Medical","Obra de A. Lynn Martin, publicada en 1996."
"The Sources and Literature of English History from the Earliest Times to about 1485","Charles Gross","1900","Classification","Obra de Charles Gross, publicada en 1900."
"Missouri Botanical Garden Bulletin","Missouri Botanical Garden","1956","Botany","The January number of each volume contains the annual reports of the officers of the board and the director, 1913-1977; the annual reports are issued as the May issues of each volume, -1987."
"Paper Liberals","David Ortiz","2000","History","The death of General Francisco Franco in November of 1975 ended thirty-six years of fascist-style dictatorship in Spain. The subsequent transition to liberal parliamentary government was remarkably s…"
"La Enseñanza de la Historia (Classic Reprint)","Rafael Altamira","2016","Education","Excerpt from La Ensenanza de la Historia Lo dicho anteriormente basta para comprender que 'la presente edicion no se limita a reproducir la primera. About the Publisher Forgotten Books publishes hund…"
"Catalogue of the Library of the Peabody Institute of the City of Baltimore ...","George Peabody Library","1889","Dictionary catalogs","Obra de George Peabody Library, publicada en 1889."
"The British Library General Catalogue of Printed Books 1976 to 1982","British Library","1983","Reference","Obra de British Library, publicada en 1983."
"The Cambridge Modern History","John Emerich Edward Dalberg Acton Baron Acton","1907","Enlightenment","""The Cambridge Modern History"" is a comprehensive modern history of the world, beginning with the 15th century age of Discovery, published by the Cambridge University Press in the United Kingdom and…"
"Historia de los progresos del derecho de gentes, en Europa y en América, desde la paz de Westfalia hasta nuestros dias ...","Henry Wheaton","1861","Europe","Obra de Henry Wheaton, publicada en 1861."
"A History of Spanish Literature","Ernest Mérimée","1930","Spanish literature","Obra de Ernest Mérimée, publicada en 1930."
"Guide de la Littérature Française Du Moyen Age","Louis Kukenheim","1963","French literature","Obra de Louis Kukenheim, publicada en 1963."
"José Vasconcelos and His World","Gabriella De Beer","1966","Authors, Mexican","Obra de Gabriella De Beer, publicada en 1966."
"Alejandro Morales","José Antonio Gurpegui Palacios","1996","Literary Criticism","This collection reviews the work of Chicano writer Alejandro Morales, whose novel Caras viejas y vino nuevo, is generally recognized as one of the classics of Chicano literature. The contributors are…"
"The Guanches of Tenerife","Alonso de Espinosa","1907","Canary Islands","Obra de Alonso de Espinosa, publicada en 1907."
"The Cambridge Medieval History","James Pounder Whitney","1929","Middle Ages","Obra de James Pounder Whitney, publicada en 1929."
"La historia","José Luis Ibáñez Salas","2020","Ficción","Obra de José Luis Ibáñez Salas, publicada en 2020."
"The Fourth Crusade","Donald E. Queller","1978","History","Obra de Donald E. Queller, publicada en 1978."
"Non-flint Stone Tools and the Palaeolithic Occupation of the Iberian Peninsula","Norah Moloney","1996","History","The papers in this volume introduce English readers to the variety and scope of Palaeolithic stone tool research taking place in the Iberian Peninsula. They not only offer information about early occ…"
"Dictionary Catalog of the History of the Americas","New York Public Library. Reference Dept","1961","America","Obra de New York Public Library. Reference Dept, publicada en 1961."
"The Encyclopedia Americana","Frederick Converse Beach","1903","Encyclopedias and dictionaries","Obra de Frederick Converse Beach, publicada en 1903."
"Apellido Vernia","AA.VV.","2014","Reference","Origen, significado y datos históricos más relevantes del apellido, así como la heráldica (escudo de armas) del linaje. Para la documentación y edición de todas nuestras láminas nos regimos por un es…"
"Guía crítica de la historia contemporánea","Armando Saitta","1989","History","Armando Saitta advierte en este volumen sobre lo difícil de trazar una línea de demarcación entre la historia moderna y la contemporánea. Y se pregunta, hay una fecha segura, un acontecimiento, un pr…"
"Catalogue of the Library of the Boston Athenæum","Boston Athenaeum","1876","American literature","Obra de Boston Athenaeum, publicada en 1876."
"The Lives, Ideas, and Works of Basques in the Philippines","Aitor Anduaga Egaña","2019","Basques","Obra de Aitor Anduaga Egaña, publicada en 2019."
